No,BookCode,BookName,BookAuthor,Publication,Domain
130,HD-DLDA-001,Digital Logic Design and Applications,A.P.Godse,Technical Publications Pune,Digital Logic Design and Applications
131,HD-DLDA-002,Cobol Programming,M. Morris Mano,PHI Publications,Digital Logic Design and Applications
132,HD-DLDA-003,Modern Digital Electronics,R.P. JAIN,Tata McGraw Hill Publications,Digital Logic Design and Applications
133,HD-DLDA-004,Digital Electronics,J.S Katre,TechMax Publications,Digital Logic Design and Applications
134,HD-DLDA-005,Basic Electronics,Bernard Grob,Metric Editions,Digital Logic Design and Applications
135,HD-DLDA-006,Digital And Data Communications,Michael A. Miller,Jaico Publishing House,Digital Logic Design and Applications
136,HD-DLDA-007,Operat,J. S. Katre,Tech-Max,Digital Logic Design and Applications
137,HD-DLDA-00701,Digital Logic Design and Application,J. S. Katre,Tech-Max,Digital Logic Design and Applications
138,HD-DSP-001,Discrete-Time Signal Processing,Bijith Marakarkandy,Vipul Publications,Digital Signal Processing
139,HD-DSP-002,Digital Signal Processing,A. Nagoor Kani,McGraw Hill Education,Digital Signal Processing
140,HD-DSP-003,Programming with JAVA,M. P. Bhave & S. A. Patekar,McGraw,Digital Signal Processing
141,HD-EDC,Linear Integrated Circuits,S Salivahanan & VS Kanchana Bhaaskaran,McGraw Hill Education,Electronic Devices and Circuits
142,HD-EDC-001,Electronics - II,J.S. Katre,TechMax Publications,Electronic Devices and Circuits
143,HD-EDC-002,Electronic Devices and Circuits,U.A Bakshi A.P. Godse,Technical Publications,Electronic Devices and Circuits
144,HD-EDC-003,Design Of Basic Electronic Circuits,Praful N. Thakkar,Jeevandeep,Electronic Devices and Circuits
145,HD-EDC-004,Electronic Devices And Circuits,Allen Mottershead,PHI Publications,Electronic Devices and Circuits
146,HD-EDC-005,Power Electronics,PC Sen,McGrawHill Publications,Electronic Devices and Circuits
147,HD-EDC-006,Analog and Digital Circuits,J.S.Katre,Tech-Max Publications,Electronic Devices and Circuits
148,HD-EDC-007,Digital Circuits and Design,S. salivahanan & S. Arivazhagan,Oxford Higher Education,Electronic Devices and Circuits
149,HD-EDC-012,"Power Electronics Circuits,Devices and Applications",Muhammad H. Rashid,Prentice Hall India Private Limited,Electronic Devices and Circuits
150,HD-EDS-009,Integrated Circuits,Uday A. Bakshi and Atul P. Godse,Technical Publication,Electronic Devices and Circuits
151,HD-EM-002,Electronic Principles,Albert Paul Malvino,McGraw Hill Education,Electronic Devices and Circuits
152,HD-NT-001,Introduction To Nanotechnology,Charles P. Poole Jr.,Wiley Student Edition,Electronic Devices and Circuits
153,HD-NT-003,Nanotechnology,Mark Ratner,Pearson Education,Electronic Devices and Circuits
154,HD-EN-001,Electrical Networks,Ravish R. Singh,Nirali Prakashan,Electronic Devices and Circuits
155,HD-EN-003,Network Analysis,M. E. Van Valkenburg,Prentice Hall India Publication,Electronic Devices and Circuits
156,HD-ES-001,Fundamentals Of Embedded Software,Daniel W. Lewis,Pearson Education Asia,Electronic Devices and Circuits
157,HD-ES-002,Embedded Systems and Real-Time Programming,Sanjay B. Deshmukh,TechMax Publications,Electronic Devices and Circuits
158,HD-ES-003,Internet of Things with Arduino and Bolt,Ashwin Pajankar,BPB Publications,Electronic Devices and Circuits
